post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,meta:_global_unique_id,tax:product_brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:product_range,tax:product_color,attribute:pa_brand,attribute_data:pa_brand
"Water Pump",water-pump,,361,,"Water Pump",publish,,0,"2026-01-25 20:28:56",1,open,VPM3708,,,no,no,23,820,,5.25,28,14.5,18.2,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/SKC-VPM3708-15.jpg ! alt :  ! title : Water Pump ! desc :  ! caption : ",,http://belims-headless.local/product/water-pump/,0,,Ingco,simple,,"Water Tanks and Filtration > Water Storage|Water Tanks and Filtration > Water Storage > Water Tank Pumps|Water Tanks and Filtration",,,Skillcraft,,,
"Automatic Pump Control",automatic-pump-control,,363,,"Automatic Pump Control",publish,,0,"2026-01-25 20:28:57",1,open,WAPS002,,,no,no,58,630,,1.35,26.5,15,13,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/SKC-WAPS002-15.jpg ! alt :  ! title : Automatic Pump Control ! desc :  ! caption : ",,http://belims-headless.local/product/automatic-pump-control/,0,,Ingco,simple,,"Water Tanks and Filtration > Water Storage|Water Tanks and Filtration > Water Storage > Water Tank Pumps|Water Tanks and Filtration",,,Skillcraft,,,
"Brad Nail",brad-nail,,365,,"Brad Nail",publish,,0,"2026-01-25 20:28:59",1,open,ANA18251,,,no,no,6,105,,1.05,12.7,6.5,3.1,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/ANA18251.jpg ! alt :  ! title : Brad Nail ! desc :  ! caption : ",,http://belims-headless.local/product/brad-nail/,0,,Ingco,simple,,"Fasteners and Adhesives|Fasteners and Adhesives > Nails|Fasteners and Adhesives > Nails > Nails",,,Skillcraft,,,
"Brad Nail",brad-nail-2,,367,,"Brad Nail",publish,,0,"2026-01-25 20:29:01",1,open,ANA18351,,,no,no,2,125.01,,1.43,12.7,6.5,4,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/ANA18351.jpg ! alt :  ! title : Brad Nail ! desc :  ! caption : ",,http://belims-headless.local/product/brad-nail-2/,0,,Ingco,simple,,"Fasteners and Adhesives|Fasteners and Adhesives > Nails|Fasteners and Adhesives > Nails > Nails",,,Skillcraft,,,
"Brad Nail",brad-nail-3,,369,,"Brad Nail",publish,,0,"2026-01-25 20:29:04",1,open,ANA18501,,,no,no,2,225,,2.05,12.7,6.5,5.6,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/ANA18501.jpg ! alt :  ! title : Brad Nail ! desc :  ! caption : ",,http://belims-headless.local/product/brad-nail-3/,0,,Ingco,simple,,"Fasteners and Adhesives|Fasteners and Adhesives > Nails|Fasteners and Adhesives > Nails > Nails",,,Skillcraft,,,
"Air Spray Gun",air-spray-gun,,371,,"Air Spray Gun",publish,,0,"2026-01-25 20:29:07",1,open,ASG1061,,,no,no,1,,,1.13,23,15,12.5,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/ASG1061.jpg ! alt :  ! title : Air Spray Gun ! desc :  ! caption : ",,http://belims-headless.local/product/air-spray-gun/,0,,Ingco,simple,,Uncategorized,,,Skillcraft,,,
"Air Spray Gun",air-spray-gun-2,,373,,"Air Spray Gun",publish,,0,"2026-01-25 20:29:09",1,open,ASG4042,,,no,no,4,,,1,20.8,14.7,12.1,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/ASG4042.jpg ! alt :  ! title : Air Spray Gun ! desc :  ! caption : ",,http://belims-headless.local/product/air-spray-gun-2/,0,,Ingco,simple,,Uncategorized,,,Skillcraft,,,
Staples,staples,,375,,Staples,publish,,0,"2026-01-25 20:29:11",1,open,AST18251,,,no,no,2,130,,1.12,12,10,3,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/AST18251.jpg ! alt :  ! title : Staples ! desc :  ! caption : ",,http://belims-headless.local/product/staples/,0,,Ingco,simple,,Uncategorized,,,Skillcraft,,,
Staples,staples-2,,377,,Staples,publish,,0,"2026-01-25 20:29:13",1,open,AST18351,,,no,no,7,180,,1.47,12.1,10.3,4,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/AST18351.jpg ! alt :  ! title : Staples ! desc :  ! caption : ",,http://belims-headless.local/product/staples-2/,0,,Ingco,simple,,Uncategorized,,,Skillcraft,,,
"Air Tyre Inflating Gun",air-tyre-inflating-gun,,379,,"Air Tyre Inflating Gun",publish,,0,"2026-01-25 20:29:16",1,open,ATG0601,,,no,no,0,370,,0.58,34.1,16.5,4,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/ATG0601.jpg ! alt :  ! title : Air Tyre Inflating Gun ! desc :  ! caption : ",,http://belims-headless.local/product/air-tyre-inflating-gun/,0,,Ingco,simple,outofstock,Uncategorized,,,Skillcraft,,,
"Mitre Saw",mitre-saw,,570,,"Mitre Saw",publish,,0,"2026-01-25 22:33:19",1,open,BMS14002,,,no,no,0,2500,,810,47.5,35.5,32.5,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/BMS14002.jpg ! alt :  ! title : Mitre Saw ! desc :  ! caption : ",,http://belims-headless.local/product/mitre-saw/,0,,Ingco,simple,outofstock,Uncategorized,,,Skillcraft,,,
"20V PS+ GRINDER 115MM BRUSHLESS",20v-ps-grinder-115mm-brushless,,572,,"20V PS+ GRINDER 115MM BRUSHLESS",publish,,0,"2026-01-25 22:33:20",1,open,CAGLI1152,,,no,no,'-18,1399,,2,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/CAGLI1152.jpg ! alt :  ! title : 20V PS+ GRINDER 115MM BRUSHLESS ! desc :  ! caption : ",,http://belims-headless.local/product/20v-ps-grinder-115mm-brushless/,0,,Ingco,simple,outofstock,"Tools and Machinery > Power Tools > Grinders|Tools and Machinery > Power Tools|Tools and Machinery",,,Skillcraft,,,
"12V PS+ C/L DRILL 20NM KIT 2BATTERIES",12v-ps-c-l-drill-20nm-kit-2batteries,,574,,"12V PS+ C/L DRILL 20NM KIT 2BATTERIES",publish,,0,"2026-01-25 22:33:21",1,open,CDLI12325,,,no,no,44,899,699,1.8,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/CDLI12325.jpg ! alt :  ! title : 12V PS+ C/L DRILL 20NM KIT 2BATTERIES ! desc :  ! caption : ",,http://belims-headless.local/product/12v-ps-c-l-drill-20nm-kit-2batteries/,0,,Ingco,simple,,"Tools and Machinery > Power Tools > Drills|Tools and Machinery > Power Tools|Tools and Machinery",,,Skillcraft,,,
"20V PS+ C/L DRILL 45NM KIT 2B",20v-ps-c-l-drill-45nm-kit-2b,,576,,"20V PS+ C/L DRILL 45NM KIT 2B",publish,,0,"2026-01-25 22:33:23",1,open,CDLI2002,,,no,no,'-2,2199,,2.96,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/CDLI2002.jpg ! alt :  ! title : 20V PS+ C/L DRILL 45NM KIT 2B ! desc :  ! caption : ",,http://belims-headless.local/product/20v-ps-c-l-drill-45nm-kit-2b/,0,,Ingco,simple,outofstock,"Tools and Machinery > Power Tools > Drills|Tools and Machinery > Power Tools|Tools and Machinery",,,Skillcraft,,,
"20V Lithium-Ion Impact Drill",20v-lithium-ion-impact-drill,,578,,"20V Lithium-Ion Impact Drill",publish,,0,"2026-01-25 22:33:24",1,open,CIDLI2002,,,no,no,3,2690,,3.06,35,22,9.5,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/CIDLI2002.jpg ! alt :  ! title : 20V Lithium-Ion Impact Drill ! desc :  ! caption : ",,http://belims-headless.local/product/20v-lithium-ion-impact-drill/,0,,Ingco,simple,,"Tools and Machinery > Power Tools > Drills|Tools and Machinery > Power Tools|Tools and Machinery",,,Skillcraft,,,
"20V PS+ C/L DRIVER 170NM 5P",20v-ps-c-l-driver-170nm-5p,,580,,"20V PS+ C/L DRIVER 170NM 5P",publish,,0,"2026-01-25 22:33:25",1,open,CIRLI20020,,,no,no,6,1499,,1.35,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/CIRLI20020.jpg ! alt :  ! title : 20V PS+ C/L DRIVER 170NM 5P ! desc :  ! caption : ",,http://belims-headless.local/product/20v-ps-c-l-driver-170nm-5p/,0,,Ingco,simple,,Uncategorized,,,Skillcraft,,,
"20V PS+ C/L WRENCH 300NM IMP",20v-ps-c-l-wrench-300nm-imp,,582,,"20V PS+ C/L WRENCH 300NM IMP",publish,,0,"2026-01-25 22:33:26",1,open,CIWLI20010,,,no,no,24,1550,,1.57,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/CIWLI20010.jpg ! alt :  ! title : 20V PS+ C/L WRENCH 300NM IMP ! desc :  ! caption : ",,http://belims-headless.local/product/20v-ps-c-l-wrench-300nm-imp/,0,,Ingco,simple,,"Tools and Machinery > Hand Tools|Tools and Machinery|Tools and Machinery > Hand Tools > Wrenches",,,Skillcraft,,,
"Chuck Key",chuck-key,,584,,"Chuck Key",publish,,0,"2026-01-25 22:33:28",1,open,CK1301,,,no,no,'-2,20,,0.06,12.9,7.8,1,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/CK1301.jpg ! alt :  ! title : Chuck Key ! desc :  ! caption : ",,http://belims-headless.local/product/chuck-key/,0,,Ingco,simple,outofstock,Uncategorized,,,Skillcraft,,,
"20V PS+ C/L MULTITOOL",20v-ps-c-l-multitool,,586,,"20V PS+ C/L MULTITOOL",publish,,0,"2026-01-25 22:33:29",1,open,CMLI2001,,,no,no,25,999.01,,1,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/CMLI2001.jpg ! alt :  ! title : 20V PS+ C/L MULTITOOL ! desc :  ! caption : ",,http://belims-headless.local/product/20v-ps-c-l-multitool/,0,,Ingco,simple,,"Tools and Machinery > Power Tools > Hobby Tools|Tools and Machinery > Power Tools|Tools and Machinery",,,Skillcraft,,,
"40V Lithium-Ion Pressure Washer",40v-lithium-ion-pressure-washer,,588,,"40V Lithium-Ion Pressure Washer",publish,,0,"2026-01-25 22:33:30",1,open,CPWLI20082,,,no,no,50,2399,,3.1,52.7,12.5,25.8,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/CPWLI20082.png ! alt :  ! title : 40V Lithium-Ion Pressure Washer ! desc :  ! caption : ",,http://belims-headless.local/product/40v-lithium-ion-pressure-washer/,0,,Ingco,simple,,"Tools and Machinery > Machinery|Tools and Machinery > Machinery > Pressure Washer|Tools and Machinery",,,Skillcraft,,,
"20V Lithium-Ion Random Orbit Sander",20v-lithium-ion-random-orbit-sander,,590,,"20V Lithium-Ion Random Orbit Sander",publish,,0,"2026-01-25 22:33:32",1,open,CROSLI2001,,,no,no,1,1299.99,,1.37,18,12.4,15.4,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/CROSLI2001.jpg ! alt :  ! title : 20V Lithium-Ion Random Orbit Sander ! desc :  ! caption : ",,http://belims-headless.local/product/20v-lithium-ion-random-orbit-sander/,0,,Ingco,simple,,"Tools and Machinery > Power Tools|Tools and Machinery > Power Tools > Sander|Tools and Machinery",,,Skillcraft,,,
"Circular Saw",circular-saw-2,,592,,"Circular Saw",publish,,0,"2026-01-25 22:33:33",1,open,CS18568,,,no,no,8,1598.99,,5.9,35.3,25.8,27.5,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/CS18568.jpg ! alt :  ! title : Circular Saw ! desc :  ! caption : ",,http://belims-headless.local/product/circular-saw-2/,0,,Ingco,simple,,"Tools and Machinery > Power Tools|Tools and Machinery > Power Tools > Saws|Tools and Machinery",,,Skillcraft,,,
"20V Lithium-Ion Soldering Iron",20v-lithium-ion-soldering-iron,,594,,"20V Lithium-Ion Soldering Iron",publish,,0,"2026-01-25 22:33:35",1,open,CSILI2001,,,no,no,81,319,,0.31,36,13,4.5,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/CSILI2001.jpg ! alt :  ! title : 20V Lithium-Ion Soldering Iron ! desc :  ! caption : ",,http://belims-headless.local/product/20v-lithium-ion-soldering-iron/,0,,Ingco,simple,,"Tools and Machinery > Power Tools|Tools and Machinery > Power Tools > Soldering|Tools and Machinery",,,Skillcraft,,,
"20V PS+ C/L CIRCULAR SAW 165MM",20v-ps-c-l-circular-saw-165mm,,596,,"20V PS+ C/L CIRCULAR SAW 165MM",publish,,0,"2026-01-25 22:33:36",1,open,CSLI1651,,,no,no,21,1550,,2.9,,,,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/CSLI1651.jpg ! alt :  ! title : 20V PS+ C/L CIRCULAR SAW 165MM ! desc :  ! caption : ",,http://belims-headless.local/product/20v-ps-c-l-circular-saw-165mm/,0,,Ingco,simple,,"Tools and Machinery > Power Tools|Tools and Machinery > Power Tools > Saws|Tools and Machinery",,,Skillcraft,,,
"20V PS+ KNAPSACK SPRAYER 16L",20v-ps-knapsack-sprayer-16l,,598,,"20V PS+ KNAPSACK SPRAYER 16L",publish,,0,"2026-01-25 22:33:37",1,open,CSPLI2001,,,no,no,0,,,3.9,,,,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/CSPLI2001.jpg ! alt :  ! title : 20V PS+ KNAPSACK SPRAYER 16L ! desc :  ! caption : ",,http://belims-headless.local/product/20v-ps-knapsack-sprayer-16l/,0,,Ingco,simple,outofstock,"Outdoor Garden and Patio > Gardening Tools > Garden Spray Bottles|Outdoor Garden and Patio > Gardening Tools|Outdoor Garden and Patio",,,Skillcraft,,,
"Combination Plier",combination-plier,,600,,"Combination Plier",publish,,0,"2026-01-25 22:33:39",1,open,HCP08168,,,no,no,4,89.99,,0.23,21.7,8.5,3,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCP08168.jpg ! alt :  ! title : Combination Plier ! desc :  ! caption : ",,http://belims-headless.local/product/combination-plier/,0,,Ingco,simple,,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Pliers|Tools and Machinery",,,Skillcraft,,,
"Combination Plier",combination-plier-2,,602,,"Combination Plier",publish,,0,"2026-01-25 22:33:40",1,open,HCP28168,,,no,no,0,,,0.23,23,7,2.3,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCP28168.jpg ! alt :  ! title : Combination Plier ! desc :  ! caption : ",,http://belims-headless.local/product/combination-plier-2/,0,,Ingco,simple,outofstock,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Pliers|Tools and Machinery",,,Skillcraft,,,
"Combination Plier",combination-plier-3,,604,,"Combination Plier",publish,,0,"2026-01-25 22:33:41",1,open,HCP28188,,,no,no,2,,,0.29,23.5,7,3,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCP28188.jpg ! alt :  ! title : Combination Plier ! desc :  ! caption : ",,http://belims-headless.local/product/combination-plier-3/,0,,Ingco,simple,,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Pliers|Tools and Machinery",,,Skillcraft,,,
"Combination Plier",combination-plier-4,,606,,"Combination Plier",publish,,0,"2026-01-25 22:33:42",1,open,HCP28208,,,no,no,6,,,0.36,26.5,7,2.6,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCP28208.jpg ! alt :  ! title : Combination Plier ! desc :  ! caption : ",,http://belims-headless.local/product/combination-plier-4/,0,,Ingco,simple,,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Pliers|Tools and Machinery",,,Skillcraft,,,
"Carpenters Princers Pliers",carpenters-princers-pliers,,608,,"Carpenters Princers Pliers",publish,,0,"2026-01-25 22:33:44",1,open,HCPP02200,,,no,no,0,174,,0.41,27,7,2,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCPP02200.jpg ! alt :  ! title : Carpenters Princers Pliers ! desc :  ! caption : ",,http://belims-headless.local/product/carpenters-princers-pliers/,0,,Ingco,simple,outofstock,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Pliers|Tools and Machinery",,,Skillcraft,,,
"Combination Spanner",combination-spanner,,610,,"Combination Spanner",publish,,0,"2026-01-25 22:33:45",1,open,HCSPA061,,,no,no,1,,,0.02,10,1.5,0.9,,,instock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPA061.jpg ! alt :  ! title : Combination Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/combination-spanner/,0,,Ingco,simple,,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Combination Spanner",combination-spanner-2,,612,,"Combination Spanner",publish,,0,"2026-01-25 22:33:46",1,open,HCSPA071,,,no,no,0,,,0.03,11,1.7,0.9,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPA071.jpg ! alt :  ! title : Combination Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/combination-spanner-2/,0,,Ingco,simple,outofstock,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
"Combination Spanner",combination-spanner-3,,614,,"Combination Spanner",publish,,0,"2026-01-25 22:33:47",1,open,HCSPA081,,,no,no,'-1,27,,0.03,12,1.8,0.9,,,outofstock,no,no,,yes,taxable,,,,,,'-1,'-1,,,"http://belims-headless.local/wp-content/uploads/2026/01/HCSPA081.jpg ! alt :  ! title : Combination Spanner ! desc :  ! caption : ",,http://belims-headless.local/product/combination-spanner-3/,0,,Ingco,simple,outofstock,"Tools and Machinery > Hand Tools|Tools and Machinery > Hand Tools > Spanners and Sockets|Tools and Machinery",,,Skillcraft,,,
